Pantries,Address,Lat,Long,Ward
Deer Park United Church Food Pantry,77 Deerpoint Rd SE ,50.92662,-114.02807,Ward 14
Abbeydale Christian Fellowship Community Cupboard,1352 Abbeydale Drive SE,51.05131219,-113.9302263,Ward 9
Bonavista Church Food Pantry,1509 Lake Ontario Drive SE ,50.94238261,-114.0342858,Ward 14
Victory Foundation Eastside Victory Outreach,1840 – 38 Street SE,51.03666291,-113.9782748,Ward 9
West Central Community Resource Centre,3507A – 17 Avenue SW,51.03768191,-114.1373645,Ward 8
Coventry Hills Little Free Pantry Initiative,90 Covepark Sq NE,51.16606754,-114.0594807,Ward 3
Falconridge Free food pantry ,"3 Falworth Pl NE, Calgary, AB T3J 1G1 ",51.10001995,-113.9503533,Ward 4
Abbeydale Little Free Pantry,"57 Aberdare Rd NE Calgary, Alberta T2A 6V8",51.0549329,-113.9244084,Ward 9
Crescent heights community fridge,"902 Centre St N, Calgary, AB T2E 2P7",51.06011386,-114.0622892,Ward 7
Robert McClure United Church Food Pantry,5510 -26 Avenue NE,51.07758531,-113.9548758,Ward 10